X,Y,OBJECTID_1,OBJECTID,COD_SIG,MORADA,DESIGNACAO,ANO,ESTADO,TIPOLOGIA,ID_TIPO,GlobalID,Shape__Area,Shape__Length
-9.16766381835368,38.7602578662509,11,20,184260,"Jardim Prof. António de Sousa Franco, Jardim Prof. Antonio de Sousa Franco",Jardim Prof. António de Sousa Franco - Jardim da Urbanização da Aldeia de Telheiras,0, , ,5,fe131b52-a69d-494e-902f-463d1478ad5b,6677.8466796875,445.043496438673
-9.16857526345572,38.7285150457572,12,21,100180,"Rua 8(Bairro da Calçada dos Mestres), Vertente Este do Aqueduto das Águas Livres",Vertente Este do Aqueduto das Águas Livres (Junto ao Jardim do Aqueduto das Águas Livres),0, , ,5,3fa31eaf-e795-4c19-bea0-6b0af9bb6eed,8773.39794921875,1656.78458804008
-9.16915602415792,38.7229478903806,13,22,1003832100,"Rua Projectada(Calçada da Quintinha), Jardim da Bela-Flor",Jardim da Bela-Flor,0, , ,5,a6bc3106-51ec-4bed-84ec-0ab648cdc4f4,9167.775390625,510.523171694356
-9.14192415361646,38.7231295357791,14,23,2401205100,"Alameda de Santo António dos Capuchos, Jardim dos Sabores",Jardim dos Sabores,0, , ,5,92415042-5f32-4da0-8f3a-3af9fb8beca9,2508.2763671875,237.627707459543
-9.12310755543918,38.767462269214,15,1,333570,Rua Cidade da Beira(antigas Ruas B1 e B6 de Olivais Sul),Jardim Maria de Lourdes Sá Teixeira,2013,requalificado, ,5,d91e2c39-8cda-43b3-b2f6-5c445784b357,10634.3310546875,519.504111777153
-9.15040120266434,38.7797583498854,16,2,1301214100,"Praceta Fernando Valle(antiga Pc Sul, Malha 20.1 do PUAL), Jardim Maria da Luz Ponces de Carvalho",Jardim Maria da Luz Ponces de Carvalho,0, , ,5,00b1cff8-96e0-43cb-bab6-029e392badf8,8660.009765625,587.424773703784
-9.15396913432002,38.7815423715176,17,4,1301213100,"Avenida Nuno Krus Abecassis(antiga Avenida 4 do Alto do Lumiar), Parque Vale Grande",Parque Vale Grande - Parque Oeste,0,novo, ,5,ae41bae3-f8cc-4246-aa5c-4f225abaf5e2,369961.771972656,5288.42838621352
-9.10833977952007,38.7520584333436,18,5,2106902001,"Rua Dr. José Espírito Santo(antiga Rua I4 da Malha I de Chelas), Parque do Vale Fundão",Parque do Vale Fundão,0, , ,5,77ae20a0-37b9-4efd-8bfd-f8c9a13544da,111935.14453125,2393.73553502586
-9.17792344544976,38.7615584515407,19,6,110170,"Alameda Roentgen(antiga Alameda Central à Quinta dos Inglesinhos), Jardim da Alameda Roentgen",Jardim da Alameda Roentgen,0,novo, ,5,607e1c1c-a24d-4d21-887d-c76a7d0f5680,26045.251953125,1414.04462746047
-9.17693780515318,38.7376718727057,20,27,3906912001,"Rua António Macedo(antiga Rua A do Bairro do Calhau), Parque Recreativo do Calhau",PFM: Parque Recreativo do Calhau,0, , ,5,20fcb0ba-f546-4713-b0a9-742e9d692624,410673.581054688,3039.65109512541
-9.19639591061024,38.758943411274,21,28,113080,Rua José Farinha(antiga Rua A da Quinta do Bom Nome),Jardim Adão Barata,2012,novo,Espaços Verdes Vizinhança,5,7bd605ed-4299-48d1-bfe7-d13c6eb27a48,21816.052734375,1197.09883806701
-9.11181072812134,38.7631188415118,22,29,3310801001,"Rua Cidade de Lobito, Quinta Pedagógica dos Olivais",Quinta Pedagógica dos Olivais,0, , ,5,7f37456f-ecf7-40bd-84b1-12fe4f0d6604,28697.9155273438,1071.91227244753
-9.11876643141571,38.76656454887,23,11,3303303001,"Avenida Cidade de Lourenço Marques(antiga Rua B da Célula B de Olivais Sul), Parque do Vale do Silêncio",Parque do Vale do Silêncio,0, , ,5,d9edc39c-c9f3-4821-8dd7-15c16756b681,137273.405761719,2187.05402012146
